package_name
com.google.android.apps.maps
com.google.android.gm
com.whatsapp
com.google.android.apps.photos
com.facebook.katana
com.google.android.apps.tachyon
com.truecaller
com.facebook.orca
com.zhiliaoapp.musically
com.instagram.android
com.jio.myjio
cn.wps.moffice_eng
com.eterno
app.buzz.share
com.google.android.calendar
com.myairtelapp
com.google.android.keep
com.intsig.camscanner
com.sec.spp.push
com.google.android.play.games
com.sec.android.gallery3d
com.sec.android.app.launcher
com.sec.android.inputmethod
com.google.android.apps.magazines
com.microsoft.skydrive
com.mygalaxy
in.mohalla.sharechat
com.whereismytrain.android
com.samsung.android.email.provider
flipboard.boxer.app
com.samsung.android.app.notes
org.telegram.messenger
com.microsoft.office.powerpoint
com.emoji.keyboard.touchpal
com.sec.android.app.shealth
com.snapchat.android
com.facebook.lite
com.dsi.ant.service.socket
com.dsi.ant.plugins.antplus
com.google.android.talk
com.miui.android.fashiongallery
com.til.timesnews
com.mi.global.bbs
com.cricbuzz.android
com.twitter.android
com.imo.android.imoim
com.samsung.android.oneconnect
com.ixigo.train.ixitrain
com.linecorp.b612.android
com.commsource.beautyplus
com.google.android.contacts
com.skype.raider
com.mventus.selfcare.activity
com.qidian.Int.reader
com.google.android.ims
com.google.android.projection.gearhead
com.nic.mparivahan
com.kwai.global.video.social.kwaigo
com.youdao.hindict
io.faceapp
com.ideacellular.myidea
net.zedge.android
com.ss.android.ugc.boom
com.uc.vmate
com.adobe.reader
com.facebook.mlite
com.samsung.android.app.bikemode
com.touchtype.swiftkey
com.roposo.android
com.google.android.apps.docs.editors.sheets
com.google.android.apps.docs.editors.docs
com.zhiliaoapp.musically.go
com.cardfeed.video_public
com.google.android.apps.books
com.pinterest
com.samsung.android.spay
com.microsoft.office.onenote
com.awt.kalnirnay
com.realmecomm.app
com.google.android.apps.wallpaper
com.sec.app.samsungprintservice
com.cuvora.carinfo
com.google.android.apps.docs.editors.slides
com.cleanmaster.mguard
com.downlood.sav.whmedia
in.AajTak.headlines
com.zhiliao.musically.livewallpaper
com.microsoft.appmanager
com.gamma.scan
com.eci.citizen
com.google.earth
com.yahoo.mobile.client.android.mail
com.hike.chat.stickers
com.asiainno.uplive.aiglamour
com.eyecon.global
com.cam001.selfie
videostatusmaker.videostatus.boo
com.threestar.gallery
com.oneassist
com.ak.ta.dainikbhaskar.activity
com.whatsapp.wallpaper
com.bingo.livetalk
com.tencent.mm
com.huawei.android.thememanager
com.huawei.hwid
com.jkfantasy.gpsmapcamera
com.venticake.retrica
com.amazon.kindle
com.huawei.phoneservice
sg.bigo.live
video.like.lite
com.huawei.KoBackup
com.jiochat.jiochatapp
com.tinder
com.google.android.apps.chromecast.app
com.hmdglobal.support
com.google.android.apps.plus
com.skype.m2
com.jio.join
com.uc.iflow
com.p1.mobile.putong
com.xiaomi.hm.health
com.motorola.ccc.notification
com.magicpin.local
com.oneplus.gallery
com.samsung.sree
net.oneplus.launcher
com.urbanclap.urbanclap
com.winit.starnews.hin
com.huawei.honorclub.android
com.azarlive.android
com.huawei.health
net.oneplus.forums
com.officetool.pdfreader2018.pdfviewer
com.samsung.android.videolist
com.oneplus.iconpack.circle
com.oneplus.iconpack.square
com.oneplus.brickmode
com.bsb.hike
